id;start_date;end_date;old_kwh;old_water;new_kwh;new_water;room_price;electricity_price;water_price
1;2020-07-07;2020-07-06;98194;30448;23174;46345;7514;41434;8246
2;2020-07-06;2020-07-06;10110;21316;61934;88245;82013;35998;51194
3;2020-07-06;2020-07-06;14859;28123;22956;11341;99000;38280;9728
4;2020-07-06;2020-07-06;33991;47282;58199;11866;21224;55590;6504
5;2020-07-06;2020-07-06;48913;39631;79489;33213;43519;41080;11658
6;2020-07-06;2020-07-06;1192;91206;16424;35735;60810;88587;12624
7;2020-07-06;2020-07-07;62598;26342;22213;53759;18200;2313;44928
8;2020-07-06;2020-07-06;67263;38071;52002;80145;32768;31025;38627
9;2020-07-06;2020-07-07;37808;36451;84770;52916;6876;16812;36770
10;2020-07-06;2020-07-07;89447;85889;18025;23229;15476;87500;49152
