id;origin_name;name;path
1;bypass open-source;River quantify Manors;Computers
2;Macao Object-based;sticky Ergonomic panel;Solutions sky blue
3;primary Cambridgeshire haptic;XSS;Shores Devolved
4;program generate;Georgia;bluetooth American Samoa Security
5;knowledge user Home Loan Account teal;Tennessee Netherlands;Intelligent Plastic Pizza
6;functionalities;support;Dalasi Uruguay Usability
7;Rubber;Buckinghamshire Personal Loan Account;logistical
8;Rustic deposit Pants;Garden;quantifying Germany Ball
9;optimize;service-desk;index
10;Credit Card Account back-end;invoice;focus group systems Realigned
