id;title;price;status;acreage;decription
1;Tasty Plastic Car;70377;REPAIRING;23020;auxiliary
2;Principal deposit;67939;BOOKED;60437;CFA Franc BCEAO Steel
3;e-commerce Intelligent;77443;AVAILABlE;93364;Taiwan
4;Unbranded;92400;REPAIRING;92819;secondary Turnpike Polarised
5;Manager;46519;BOOKED;81260;Small payment
6;Algerian Dinar;9252;REPAIRING;20586;Stravenue support
7;District Dynamic;15593;BOOKED;4793;Borders Oman Rustic
8;invoice Avon Saint Lucia;61097;REPAIRING;20486;interactive Intelligent
9;AI;78526;BOOKED;56557;Home Loan Account Ergonomic Steel Cheese Global
10;Tactics Toys;13272;BOOKED;66097;Tools
