id;title;price;decription
1;Cotton Credit Card Account interface;1720;scalable bypassing hard drive
2;Global networks;71384;Moroccan Dirham
3;Cape Verde Handmade Regional;1030;deposit Dynamic deposit
4;withdrawal SQL Pennsylvania;32791;Assistant
5;Tokelau Salad redundant;95888;Home Loan Account olive
6;Chicken;93332;Refined Concrete Towels
7;Consultant;56525;Small Metal Mouse Focused Regional
8;white Investor;92059;multi-byte
9;Gorgeous Fresh Computer virtual haptic;75763;Buckinghamshire Buckinghamshire
10;invoice Alaska Unbranded Plastic Shoes;78433;protocol
